Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",89.000000,-65.725000,-90.000000,top
"C2","4.7uF","C_0805_2012Metric",87.950000,-63.000000,0.000000,top
"C3","100nF","C_0603_1608Metric",89.000000,-68.775000,90.000000,top
"C4","1 uF","C_0805_2012Metric",85.500000,-80.500000,90.000000,top
"C5","4.7 uF","C_0805_2012Metric",97.500000,-80.500000,-90.000000,top
"D2","PESD5V0S1UA","D_SOD-323",75.000000,-74.000000,180.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",78.250000,-80.180000,0.000000,top
"J2 SWD","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",77.000000,-52.880000,0.000000,top
"R1","5.1k","R_0603_1608Metric",79.500000,-74.000000,0.000000,top
"R2","5.1k","R_0603_1608Metric",86.000000,-77.000000,0.000000,top
"STM32G0 ","STM32G031K8Tx","LQFP-32_7x7mm_P0.8mm",95.000000,-66.500000,0.000000,top
"U2","TLV75533PDBV","SOT-23-5",92.000000,-80.500000,0.000000,top
